time_id,time,hour,minute,second
561,1970-01-01 00:09:21,0,9,21
562,1970-01-01 00:09:22,0,9,22
563,1970-01-01 00:09:23,0,9,23
564,1970-01-01 00:09:24,0,9,24
565,1970-01-01 00:09:25,0,9,25
566,1970-01-01 00:09:26,0,9,26
567,1970-01-01 00:09:27,0,9,27
568,1970-01-01 00:09:28,0,9,28
569,1970-01-01 00:09:29,0,9,29
570,1970-01-01 00:09:30,0,9,30
571,1970-01-01 00:09:31,0,9,31
572,1970-01-01 00:09:32,0,9,32
573,1970-01-01 00:09:33,0,9,33
574,1970-01-01 00:09:34,0,9,34
575,1970-01-01 00:09:35,0,9,35
576,1970-01-01 00:09:36,0,9,36
577,1970-01-01 00:09:37,0,9,37
578,1970-01-01 00:09:38,0,9,38
579,1970-01-01 00:09:39,0,9,39
580,1970-01-01 00:09:40,0,9,40
581,1970-01-01 00:09:41,0,9,41
582,1970-01-01 00:09:42,0,9,42
583,1970-01-01 00:09:43,0,9,43
584,1970-01-01 00:09:44,0,9,44
585,1970-01-01 00:09:45,0,9,45
586,1970-01-01 00:09:46,0,9,46
587,1970-01-01 00:09:47,0,9,47
588,1970-01-01 00:09:48,0,9,48
589,1970-01-01 00:09:49,0,9,49
590,1970-01-01 00:09:50,0,9,50
591,1970-01-01 00:09:51,0,9,51
592,1970-01-01 00:09:52,0,9,52
593,1970-01-01 00:09:53,0,9,53
594,1970-01-01 00:09:54,0,9,54
595,1970-01-01 00:09:55,0,9,55
596,1970-01-01 00:09:56,0,9,56
597,1970-01-01 00:09:57,0,9,57
598,1970-01-01 00:09:58,0,9,58
599,1970-01-01 00:09:59,0,9,59
600,1970-01-01 00:10:00,0,10,0
601,1970-01-01 00:10:01,0,10,1
602,1970-01-01 00:10:02,0,10,2
603,1970-01-01 00:10:03,0,10,3
604,1970-01-01 00:10:04,0,10,4
605,1970-01-01 00:10:05,0,10,5
606,1970-01-01 00:10:06,0,10,6
607,1970-01-01 00:10:07,0,10,7
608,1970-01-01 00:10:08,0,10,8
609,1970-01-01 00:10:09,0,10,9
610,1970-01-01 00:10:10,0,10,10
611,1970-01-01 00:10:11,0,10,11
612,1970-01-01 00:10:12,0,10,12
613,1970-01-01 00:10:13,0,10,13
614,1970-01-01 00:10:14,0,10,14
615,1970-01-01 00:10:15,0,10,15
